Nr,language,pov,original,gloss,translation,source,page,comments
416,Yoruba,adnominal,kò</td><td>si</td><td>ilé</td><td>oúnj&#601;</td><td>nínún&#596;gbà</td><td>yunifásátì</td><td>fúnraar&#601;&#768;,not</td><td>to</td><td>house</td><td>food</td><td>in.campus</td><td>university</td><td>INT.POSS.3SG,There is no restaurant in the university itself.,Insa Gülzow (p.c.),-,for segmentation of <i>fúnraar&#601;&#768;</i> cf. the comments field above
417,Lezgian,reflexive,Ali-di-zi</td><td>wi&#269;</td><td>güzgü.d-a</td><td>akwa-zwa,Ali-OBL-DAT</td><td>REFL.ABS</td><td>mirror-INESS</td><td>see-IMPF,Ali sees himself in the mirror.,"Haspelmath, Martin (1993). <i>A Grammar of Lezgian</i>. Berlin: Mouton de Gruyter.",185,INESS: Inessive case
418,Lezgian,reflexive,ada</td><td>wi&#269;i</td><td>wi&#269;</td><td>alzurar-zawa,he.ERG</td><td>INT.ERG</td><td>REFL.ABS</td><td>deceive-IMPF,He is deceiving himself.,"Haspelmath, Martin (1993). <i>A Grammar of Lezgian</i>. Berlin: Mouton de Gruyter.",186,ERG: Ergative case
419,Lezgian,adnominal,&#269;i</td><td>q&#146;iliw</td><td>Lenin</td><td>wi&#269;</td><td>ata-nwa!,we.GEN</td><td>to</td><td>Lenin</td><td>INT.ABS</td><td>come-PFCT,Lenin himself has come to us.,"Haspelmath, Martin (1993). <i>A Grammar of Lezgian</i>. Berlin: Mouton de Gruyter.",186,--
420,Yoruba,adnominal,èmi</td><td>fúnraàmi</td><td>dúró</td><td>tí</td><td>àw&#596;n</td><td>&#596;m&#596;,I.EMPH</td><td>INT.POSS.1SG</td><td>stay</td><td>with</td><td>PL</td><td>child,I myself will stay with the children.,Insa Gülzow (p.c.),-,for segmentation of <i>fúnraàmi</i> cf. the comments field above
421,Yoruba,reflexive,pàápàá</td><td>jul&#596;</td><td>ó</td><td>korira</td><td>araar&#601;&#768;,especially</td><td>PRT</td><td>he</td><td>hates</td><td>body.POSS.3SG,Most of all he hates himself.,Insa Gülzow (p.c.),-,PRT: particle
422,Lezgian,adv exclusive,Güldeste-di-Ø</td><td>wi&#269;-in</td><td>sual-ri-z</td><td>wi&#269;-i</td><td>žawab</td><td>gana,Güldeste-OBL-ERG</td><td>INT-GEN</td><td>question-PL-DAT</td><td>INT-ERG</td><td>answer</td><td>give,Güldeste answered her (own) question herself.,"Haspelmath, Martin (1993). <i>A Grammar of Lezgian</i>. Berlin: Mouton de Gruyter.",186,--
423,Lezgian,adnominal,kac-i</td><td>wi&#269;-i,cat-ERG</td><td>INT-ERG,the cat itself,"Haspelmath, Martin (1993). <i>A Grammar of Lezgian</i>. Berlin: Mouton de Gruyter.",187,--
424,Tagalog,reflexive,sinaktan</td><td>ko</td><td>ang</td><td>sarili</td><td>ko,hurt</td><td>1SG</td><td>DET</td><td>REFL</td><td>1SG,I hurt myself.,"Schachter, Paul (1972). <i>Tagalog Reference Grammar</i>. Berkeley: University of California Press.",138,<i>ang</i>: particle relating to the information-structural status of the following NP
425,Tagalog,reflexive,[nag-aalala</td><td>sila]</td><td>sa</td><td>sarili</td><td>nila,[PRES-worry.about</td><td>they]</td><td>PTCL</td><td>REFL</td><td>3PL,They worry about themselves.,"Schachter, Paul (1972). <i>Tagalog Reference Grammar</i>. Berkeley: University of California Press.",139,--
426,Chalcatongo Mixtec,adnominal,íkú</td><td>nì&#269;aà</td><td>máá-Ø</td><td>presidente,yesterday</td><td>came</td><td>INT-POSS.3SG</td><td>president,The president himself came yesterday.,Volker Gast (f.w.),-,--
427,Tagalog,adnominal,mismo-ng</td><td>ang</td><td>Amerikano</td><td>ang</td><td>pumunta,INT-LNK</td><td>DET</td><td>american</td><td>DET</td><td>went,The American himself went.,"Schachter, Paul (1972). <i>Tagalog Reference Grammar</i>. Berkeley: University of California Press.",140,LNK: linker; <i>ang</i>: particle relating to the information-structural status of the following NP
428,Chalcatongo Mixtec,reflexive,xwa&#771;</td><td>ni&#269;ì&#660;i</td><td>itù</td><td>xakùu</td><td>máá,Juan</td><td>sowed</td><td>corn</td><td>for</td><td>REFL,Juan sowed corn for himself.,Volker Gast (f.w.),-,--
429,Chalcatongo Mixtec,reflexive,xwâ</td><td>ku&#660;ínì</td><td>máá,Juan</td><td>likes</td><td>REFL,Juan likes himself.,Volker Gast (f.w.),-,--
430,Tagalog,adnominal,mismo-ng</td><td>sa</td><td>Maynila</td><td>[siya&nbsp;nakatira],INT-LNK</td><td>PRT</td><td>Manila</td><td>[he&nbsp;lives&nbsp;in],It's in Manila itself that he lives.,"Schachter, Paul (1972). <i>Tagalog Reference Grammar</i>. Berkeley: University of California Press.",140,LNK: linker; PRT: particle
466,Tamil,adv exclusive,avan-ee</td><td>ellaatteyun</td><td>senjaan,PRO-INT</td><td>all.ACC</td><td>did,He did everything by himself.,"Annamalai, E. (2000). Lexical Anaphors and Pronouns in Tamil. In : Lust, B. et al. (eds.). <i>Lexical Anaphors and Pronouns in Selected South-Asian Languages</i>. Berlin: Mouton.",173,--
467,Tamil,adv exclusive,kumaar</td><td>taan-ee</td><td>naDandaan,Kumaar</td><td>ANPH-INT</td><td>walked,Kumaar walked himself.,"Annamalai, E. (2000). Lexical Anaphors and Pronouns in Tamil. In : Lust, B. et al. (eds.). <i>Lexical Anaphors and Pronouns in Selected South-Asian Languages</i>. Berlin: Mouton.",174,capital letters: retroflex articulation
468,Karo Batak,reflexive,kubunuh</td><td>banku</td><td>atéku,I.kill</td><td>to.me</td><td>wish.my,I want to kill myself.,"Woollams, Geoffrey (1996). <i>A Grammar of Karo Batak, Sumatra</i>. Pacific Linguistics, Series C, No. 130.",206,--
469,Karo Batak,reflexive,kalak</td><td>ah</td><td>munuh</td><td>bana,person</td><td>that</td><td>kill</td><td>REFL,That fellow killed himself.,"Woollams, Geoffrey (1996). <i>A Grammar of Karo Batak, Sumatra</i>. Pacific Linguistics, Series C, No. 130.",206,--
470,Telugu,reflexive,mantrigaru</td><td>(tana-ki</td><td>(tan-u))</td><td>bahumati-ni</td><td>iccu-konn-aa-ru,minister</td><td>(ANPH-DAT</td><td>(ANPH-NOM))</td><td>price-ACC</td><td>give-MID-PST-AGR,The minister gave a price to himself.,"Subbarao, K.V. & B.L. Murthy (2000). Lexical Anaphors and Pronouns in Telugu. In Lust et al. (eds.). <i>Lexical Anaphors and Pronouns in Selected South Asian Languages</i>.",234,--
471,Telugu,adv exclusive,maalati</td><td>swayam-gaa</td><td>ceesindi,Malati</td><td>INT-INSTR</td><td>did,Malati did it by herself.,"Subbarao, K.V. & B.L. Murthy (2000). Lexical Anaphors and Pronouns in Telugu. In Lust et al. (eds.). <i>Lexical Anaphors and Pronouns in Selected South Asian Languages</i>.",224,INSTR: instrumental case
472,Telugu,adnominal,maadhavi</td><td>tan-ee</td><td>swayam-gaa</td><td>ceesindi,Madhavi</td><td>ANPH-INT</td><td>INT-INSTR</td><td>did,Madhavi herself did it by herself.,"Subbarao, K.V. & B.L. Murthy (2000). Lexical Anaphors and Pronouns in Telugu. In Lust et al. (eds.). <i>Lexical Anaphors and Pronouns in Selected South Asian Languages</i>.",225,adnominal and adverbial exclusive intensifier; INSTR: instrumental case
473,Karo Batak,reflexive,enggo</td><td>bagi</td><td>sisada</td><td>akapna</td><td>bana,already</td><td>like</td><td>alone</td><td>think.he</td><td>REFL,He felt himself to be all alone.,"Woollams, Geoffrey (1996). <i>A Grammar of Karo Batak, Sumatra</i>. Pacific Linguistics, Series C, No. 130.",210,--
474,Karo Batak,adv exclusive,ndabuh</td><td>mahan</td><td>bana</td><td>gelas</td><td>é,fall</td><td>make</td><td>REFL</td><td>glass</td><td>that,The glass fell by itself.,"Woollams, Geoffrey (1996). <i>A Grammar of Karo Batak, Sumatra</i>. Pacific Linguistics, Series C, No. 130.",211,anti-causative use of reflexive
475,Telugu,reflexive,radha</td><td>(tana-ni</td><td>(tan-u))</td><td>poguDu-kon-di,Radha</td><td>(ANPH-ACC</td><td>(ANPH-NOM))</td><td>praise-MID-AGR,Radha praised herself.,"Subbarao, K.V. & B.L. Murthy (2000). Lexical Anaphors and Pronouns in Telugu. In Lust et al. (eds.). <i>Lexical Anaphors and Pronouns in Selected South Asian Languages</i>.",233,MID: middle voice; <i>tanu</i>: nominative singular form of the anaphor <i>taan-</i>
476,Karo Batak,adv exclusive,kayu</td><td>ah</td><td>ndai</td><td>penggel</td><td>sisada,wood</td><td>that</td><td>that</td><td>snap</td><td>alone,The stick broke by itself.,"Woollams, Geoffrey (1996). <i>A Grammar of Karo Batak, Sumatra</i>. Pacific Linguistics, Series C, No. 130.",211,anti-causative use of reflexive
477,Karo Batak,adv exclusive,mahan</td><td>bana</td><td>rëh</td><td>beluhna</td><td>ia,make</td><td>REFL</td><td>come</td><td>clever</td><td>he,He just got smarter by himself (i.e. nobody taught him).,"Woollams, Geoffrey (1996). <i>A Grammar of Karo Batak, Sumatra</i>. Pacific Linguistics, Series C, No. 130.",211,--
431,Chalcatongo Mixtec,own,gobierno</td><td>tú</td><td>kuní</td><td>ja</td><td>skuákayo</td><td>yuhu</td><td>máá-yo,government</td><td>not</td><td>want</td><td>that</td><td>we.learn</td><td>language</td><td>INT-POSS.2PL,The government does not want us to learn our own language.,"Pérez Jimenez, G.A. & Jansen, M. (1999). <i>Sahìn Sàu -- libro para aprender la lengua Mixteca</i>. Leiden: University.",48,the orthography used by Jimenez & Jansen (1999) differs from the one adopted here
432,Tagalog,adv exclusive,pumunta</td><td>siya</td><td>mismo,went</td><td>he</td><td>INT,He went himself.,"Schachter, Paul (1972). <i>Tagalog Reference Grammar</i>. Berkeley: University of California Press.",140,-
433,Chalcatongo Mixtec,adv exclusive,má&#660;&#649;&#771;&#769;&#649;&#771;&#769;</td><td>sá&#660;a</td><td>statilá,INT(AVE)</td><td>produce</td><td>bread,He produces the bread himself.,Volker Gast (f.w.),-,--
434,Tetelcingo Nahuatl,reflexive,Šowa</td><td>mo-htak</td><td>pa</td><td>tieskatl,Juan</td><td>REFL-saw</td><td>in</td><td>mirror,Juan saw himself in the mirror.,Volker Gast (f.w.),-,--
435,Tetelcingo Nahuatl,adv exclusive,sa</td><td>i-siel</td><td>ok&#305;ch&#305;hchi</td><td>i-kal,only</td><td>POSS.3SG-INT</td><td>he.built</td><td>POSS.3SG-house,He built his house himself.,Volker Gast (f.w.),-,--
436,West Greenlandic,adnominal,ittutta</td><td>nammineq</td><td>tikilluaqq-niar-paatigut,director.ABS</td><td>INT</td><td>welcome-FUT-3SG&gt;1,The director himself will welcome us.,Susanne Møller (p.c.),-,--
437,Tetelcingo Nahuatl,adnominal,ow&#596;la</td><td>belaha</td><td>tlahtoan&#305;,came</td><td>INT</td><td>governor,The governor himself came.,Volker Gast (f.w.),-,--
438,West Greenlandic,adnominal,palasersua-rput</td><td>nammineq</td><td>taku-nnigi-larput,cardinal-our</td><td>INT</td><td>see-not-1&gt;3,We did not see the/our cardinal himself.,Susanne Møller (p.c.),-,--
439,Tetelcingo Nahuatl,adnominal,pos</td><td>sie</td><td>yaha</td><td>David</td><td>k&#305;htoa</td><td>ipa</td><td>inu</td><td>libru</td><td>de</td><td>salmos:...,well</td><td>INT</td><td>he</td><td>David</td><td>says</td><td>in</td><td>ART</td><td>book</td><td>of</td><td>psalms,Even David himself says in the book of the psalms:...,"St. Luke 20, 42 (Wycliffe)",-,--
440,West Greenlandic,adnominal,atuarfissua-ttinni</td><td>nammineq</td><td>neriniarfe-qu-nngi-lagut,university-LOC.POSS</td><td>INT</td><td>restaurant-have-not-1PL,There is no restauant in the University building itself.,Susanne Møller (p.c.),-,-
442,West Greenlandic,adv exclusive,nammineq</td><td>allagarsia-kka</td><td>ammaar-tar-pakka,INT</td><td>letter-ABS.POSS.1SG+PL</td><td>open-HAB-1SG&gt;3PL,I always open my letters myself.,Susanne Møller (p.c.),-,--
443,West Greenlandic,own,nammineq</td><td>meeqa-tit,own</td><td>child-ABS.POSS.2SG+2PL,Are these your own children?,Susanne Møller (p.c.),-,--
444,West Greenlandic,reflexive,immi-nut</td><td>tuqup-puq,REFL-all</td><td>kill-3SG,He killed himself.,Susanne Møller (p.c.),-,--
445,Mezquital Otomi,own,ra</td><td>Šua</td><td>hábya</td><td>s&#603;&#780;h&#603;&#769</td><td>rá</td><td>ngu&#780;,ART</td><td>Juan</td><td>already.has</td><td>INT</td><td>his</td><td>house,Juan already has a house of its own.,Volker Gast (f.w.),-,--
446,Mezquital Otomi,reflexive,ra</td><td>Šua</td><td>bì</td><td>N-hiandi</td><td>s&#603;&#780;h&#603;&#769</td><td>xà</td><td>rà</td><td>&#146;y&#603;&#305;&#780;,ART</td><td>Juan</td><td>PRET.3SG</td><td>REFL-saw</td><td>INT</td><td>in</td><td>his</td><td>mirror,Juan saw himself in the mirror.,Volker Gast (f.w.),-,--
447,Tzotzil,adnominal,[ta</td><td>xtal]</td><td>s-tuk</td><td>li</td><td>preserente,[will</td><td>come]</td><td>3POSS-INT</td><td>ART</td><td>president,The president himself will come.,Volker Gast (f.w.),-,--
448,Tzotzil,adv exclusive,lah</td><td>h-va&#660;an</td><td>h-tuk</td><td>li</td><td>h-na-e,COMP</td><td>1-build</td><td>1POSS-INT</td><td>ART</td><td>POSS.1-house-CLITIC,I have built my house myself.,Volker Gast (f.w.),-,--
449,Tzotzil,own,te</td><td>ta</td><td>s-na</td><td>s-tuk,there</td><td>in</td><td>POSS.3-house</td><td>POSS.3-INT,He is there in his own house.,Volker Gast (f.w.),-,--
450,Tzotzil,reflexive,lah</td><td>y-il</td><td>s-ba</td><td>ta</td><td>nen,COMP</td><td>3-see</td><td>POSS.3-REFL</td><td>in</td><td>mirror,He saw himself in the mirror.,Volker Gast (f.w.),-,--
451,Rapa Nui,reflexive,ko</td><td>ha&#331;a</td><td>&#146;a</td><td>Joshua</td><td>mo</td><td>hopu</td><td>i</td><td>a</td><td>ia</td><td>&#146;a,PFCT</td><td>want</td><td>RES</td><td>Joshua</td><td>MOD</td><td>wash</td><td>RLT</td><td>SG</td><td>3SG</td><td>EMPH,Joshua wants to wash himself.,"du Feu, Veronika (1996). <i>Rapa Nui</i>. London: Routledge.",143,RES: resultative; MOD: modal; RLT: relational particle
452,Rapa Nui,own,he</td><td>&#146;ata</td><td>&#146;o&#146;ou</td><td>&#146;a,[+/-</td><td>SPE]</td><td>shadow</td><td>POSS.2SG.INA</td><td>EMPH,It's your own shadow.,"du Feu, Veronika (1996). <i>Rapa Nui</i>. London: Routledge.",145,SPE: specific; INA: inalienable
454,Latin,adnominal,Catilina</td><td>ipse</td><td>pertimuit,Catiline</td><td>INT.NOM.SG</td><td>was.horrified,Catiline himself was horrified.,"Cicero, Catiline II, 6.",-,--
455,Latin,reflexive,"quare</td><td>secedant</td><td>inprobi,</td><td>secernant</td><td>se</td><td>a</td><td>bonis",therefore</td><td>give.way.SUBJ</td><td>wicked.PL</td><td>separate</td><td>REFL</td><td>from</td><td>good.ABL,"May therefore the wicked ones give way, may they separate themselves from the good ones.","Cicero, Catiline I, 32",-,SUBJ: subjunctive; ABL: ablative
456,Persian,reflexive,mærjan</td><td>xod-eš-o</td><td>tæ,Marjan</td><td>REFL.3SG-OM</td><td>scared,Marjan scared herself.,"Mahootian, Sharzad (1997). <i>Persian</i>. London: Routledge.",92,OM: object marker
457,Latin,adnominal,ipse</td><td>dies</td><td>me</td><td>admonebat,INT.NOM.SG</td><td>day</td><td>my</td><td>admonished.,The day itself admonished me.,"Cicero, Familiares II, 11,2 (due to Nicoletta Puddu)",-,--
458,Persian,adv exclusive,šiva</td><td>mi-r-e</td><td>tehran.</td><td>xod-eš</td><td>tænhai</td><td>mi-r-e,Shiva</td><td>DUR-go-3SG</td><td>Tehran.</td><td>INT-3SG</td><td>alone</td><td>DUR-go-3SG,Shiva is going to Tehran. She'll go by herself.,"Mahootian, Sharzad (1997). <i>Persian</i>. London: Routledge.",95,DUR: durative prefix
459,Latin,adv inclusive,ex</td><td>iisdem</td><td>te</td><td>haec</td><td>haurire</td><td>fontibus</td><td>ex</td><td>quibus</td><td>ipse</td><td>hauseram,from</td><td>same.ABL.PL</td><td>you</td><td>these.NEUT</td><td>draw</td><td>sources</td><td>from</td><td>which.ABL.PL</td><td>INT.NOM.SG</td><td>I.drew,You draw from the same sources from which I have drawn myself.,"Cicero Familiares X, 3, 4 (due to Nicoletta Puddu)",-,NEUT: neuter gender; ABL: ablative
460,Latin,adv exclusive,scribam</td><td>ipse</td><td>de</td><td>me,I.will.write</td><td>INT.NOM.SG</td><td>about</td><td>me,I will write about me myself.,"Cicero, Familiares 5, 12, 8 (due to Nicoletta Puddu)",-,--
461,Persian,reflexive,(u)</td><td>xod-ra</td><td>košt,(he/she)</td><td>REFL-OM</td><td>killed,He killed herself/himself.,"Mahootian, Sharzad (1997). <i>Persian</i>. London: Routledge.",214,OM: object marker
462,Persian,adnominal,xod-e</td><td>mæn</td><td>ina-ro</td><td>nevešt-æm,INT-PRT</td><td>I</td><td>these-OM</td><td>wrote-1SG,I myself wrote these.,"Mahootian, Sharzad (1997). <i>Persian</i>. London: Routledge.",215,PRT: particle; <i>xod</i> precedes the pronoun or noun
463,Persian,adv exclusive,xod-et</td><td>tæmum-eš--kon,INT-2SG</td><td>end-3SG--do,Finish it yourself!,"Mahootian, Sharzad (1997). <i>Persian</i>. London: Routledge.",215,--
464,Tamil,reflexive,kumaar</td><td>tan-ney-ee</td><td>aDiccu-kiT-Taan,Kumaar</td><td>PRO-ACC-INT</td><td>hit(past)-MID-PAST.AGR,Kumaar hit himself.,"Annamalai, E. (2000). Lexical Anaphors and Pronouns in Tamil. In : Lust, B. et al. (eds.). <i>Lexical Anaphors and Pronouns in Selected South-Asian Languages</i>. Berlin: Mouton.",171,capital letters: retroflex articulation; MID: middle voice
465,Tamil,adnominal,avan-ee</td><td>vandaan,PRO-INT</td><td>came,He himself came.,"Annamalai, E. (2000). Lexical Anaphors and Pronouns in Tamil. In : Lust, B. et al. (eds.). <i>Lexical Anaphors and Pronouns in Selected South-Asian Languages</i>. Berlin: Mouton.",173,--
494,Japanese,reflexive,Taroo</td><td>wa</td><td>zibun</td><td>o</td><td>hinhanshita,Taroo</td><td>TOP</td><td>REFL</td><td>ACC</td><td>criticized,Taro criticized himself.,Takayo Ishizawa (p.c.),-,--
478,Kashmiri,adnominal,s&#596;</td><td>cha</td><td>paan-ay</td><td>kaar</td><td>calaavaan,she</td><td>be</td><td>ANPH-INT</td><td>car</td><td>drives,She herself drives the car.,"Wali, K. et al. (2000). Lexical Anaphors and Pronouns in Kashmiri. In: Lust et al. (eds.) <i>Lexical Anaphors and Pronouns in Selected South Asian Languages</i>. B.: Mouton.",476,&lt;&#596;&gt;: rounded mid-open back vowel; ANPH: anaphor
479,Karo Batak,adnominal,president</td><td>jine</td><td>ate-na</td><td>ngerana</td><td>ras</td><td>kami,president</td><td>INT</td><td>heart/will-3SG</td><td>speak</td><td>with</td><td>2PL/EXCL,The president himself will speak with us.,"Woollams, Geoffrey (1996). <i>A Grammar of Karo Batak, Sumatra</i>. Pacific Linguistics, Series C, No. 130.",259,EXCL: exclusive
480,Breton,adnominal,ar</td><td>vretoned</td><td>end-eeun,the</td><td>Bretons</td><td>INT,the Bretons themselves,"Press, I. (1986). <i>A Grammar of Modern Breton</i>. Berlin: Mouton de Gruyter.",111,--
481,Breton,reflexive,ar</td><td>vugale</td><td>[en&nbsp;em]</td><td>vag,the</td><td>children</td><td>[REFL]</td><td>feed,The children feed themselves.,"Press, I. (1986). <i>A Grammar of Modern Breton</i>. Berlin: Mouton de Gruyter.",162,--
482,Breton,adnominal,evitañ</td><td>e-unan,for.him</td><td>3-INT,for himself,"Press, I. (1986). <i>A Grammar of Modern Breton</i>. Berlin: Mouton de Gruyter.",100,--
483,Chamorro,reflexive,Ha-fa&#146;gasi</td><td>gui&#146;</td><td>si</td><td>Juan,AGR-wash</td><td>him</td><td>UNM</td><td>Juan,Juan washes him/self.,S. Chung (p.c.),-,AGR: agreement prefix; UNM: unmarked (TAM?)
484,Georgian,reflexive,(šen-s)</td><td>tav-s</td><td>mo-i-k&#146;l-av?,(your-AGR)</td><td>head-DAT</td><td>PREV-SV-kill-FUT,Will you kill yourself?,"Hewitt, B.G. (1995). <i>Georgian - A structural reference grammar</i>. Amsterdam: Benjamins.",563,PREV: preverb; SV: subjective version
485,Georgian,reflexive,(me)</td><td>(&#269;em-i)</td><td>tav-i</td><td>m-i-q&#146;var-s,(I.DAT)</td><td>(my-AGR)</td><td>head-NOM</td><td>COL.I-OV-love-3.OBJ,I love myself.,"Hewitt, B.G. (1995). <i>Georgian - A structural reference grammar</i>. Amsterdam: Benjamins.",563,COL.I: prefix from column I; OV: objective version
486,Georgian,own,xelmc&#146;ipem</td><td>samives</td><td>cxenebis</td><td>tav-tav-is-i</td><td>&#309;og-i</td><td>misca,emperor.ERG</td><td>all.three.DAT</td><td>horse.PL.GEN</td><td>REFL-REFL-GEN-AGR</td><td>herd.NOM</td><td>gave.it.to.them,The emperor gave each his own herd of horses to all three.,"Hewitt, B.G. (1995). <i>Georgian - A structural reference grammar</i>. Amsterdam: Benjamins.",564,--
